FUNKSFAM	N_annotations	annotation list
21278	7	21278_644127637 C0VKT6 EMBL:ABYN01000116 EnsemblBacteria:EEH68713 GO:GO:0003676 InterPro:IPR012337 SUPFAM:SSF53098
21243	13	21243_645158435 D2QPU3 EMBL:CP001769 RefSeq:YP_003386475.1 EnsemblBacteria:ADB37676 GeneID:8725364 KEGG:sli:Slin_1629 PATRIC:32433155 HOGENOM:HOG000109420 OMA:WHLTLEN BioCyc:SLIN504472:GHKB-1636-MONOMER InterPro:IPR005546 SUPFAM:SSF103515
21153	16	21153_639300492 Q7D3G0 EMBL:AE007872 RefSeq:NP_396215.2 ProteinModelPortal:Q7D3G0 STRING:176299.Atu5279 EnsemblBacteria:AAK90656 GeneID:1137052 KEGG:atu:Atu5279 PATRIC:20819719 eggNOG:NOG05946 HOGENOM:HOG000236327 OMA:RFWFESF OrthoDB:EOG6X9MP3 ProtClustDB:CLSK806901 BioCyc:AGRO:ATU5279-MONOMER
21117	14	21117_645574766 C9RR48 EMBL:CP001792 RefSeq:YP_003249516.1 STRING:59374.Fisuc_1437 EnsemblBacteria:ACX75034 GeneID:8522042 KEGG:fsu:Fisuc_1437 PATRIC:32142641 eggNOG:NOG45794 OMA:NVGSNHT OrthoDB:EOG6W9X6M InterPro:IPR011004 SUPFAM:SSF51161
22129	15	22129_645556462 A1W9A0 EMBL:CP000539 RefSeq:YP_986901.1 STRING:232721.Ajs_2679 EnsemblBacteria:ABM42825 GeneID:4670763 KEGG:ajs:Ajs_2679 PATRIC:20690711 eggNOG:NOG87607 HOGENOM:HOG000002515 OMA:SVYNTWF OrthoDB:EOG6PCPWV ProtClustDB:CLSK932472 BioCyc:ASP232721:GHWE-2716-MONOMER
21991	16	21991_645113545 C9XPG7 EMBL:FN538970 EMBL:AVIE01000851 RefSeq:YP_003215722.1 ProteinModelPortal:C9XPG7 STRING:645462.CD196_2704 EnsemblBacteria:CBA65211 GeneID:8465203 KEGG:cdc:CD196_2704 PATRIC:19451840 eggNOG:NOG41811 HOGENOM:HOG000138365 OMA:QAFMIGN OrthoDB:EOG615VHD BioCyc:CDIF645462:GJED-2794-MONOMER
21954	15	21954_645576456 B2V3J7 EMBL:CP001078 RefSeq:YP_001921344.1 STRING:508767.CLH_1963 EnsemblBacteria:ACD53805 GeneID:6319605 KEGG:cbt:CLH_1963 PATRIC:19420191 eggNOG:NOG15006 HOGENOM:HOG000015028 OMA:YLKEFKC OrthoDB:EOG6QCD68 ProtClustDB:CLSK899243 BioCyc:CBOT508767:GHKO-1955-MONOMER
21861	5	21861_641409813 A8SDT7 EMBL:ABED02000028 EnsemblBacteria:EDP20996 PATRIC:30684476
21855	19	21855_643093718 O26072 EMBL:AE000511 EMBL:CP003904 PIR:D64713 RefSeq:NP_208339.1 RefSeq:YP_006935474.1 STRING:85962.HP1548 EnsemblBacteria:AAD08586 EnsemblBacteria:AFV42771 GeneID:13870767 GeneID:899743 KEGG:heo:C694_08020 KEGG:hpy:HP1548 PATRIC:20594519 OMA:KVIYIFF OrthoDB:EOG6MWNDH ProtClustDB:CLSK872581 BioCyc:HPY:HP1548-MONOMER
21798	11	21798_645522130 D9SR62 EMBL:CP002160 RefSeq:YP_003842114.1 EnsemblBacteria:ADL50350 GeneID:9607424 KEGG:ccb:Clocel_0579 PATRIC:41735805 HOGENOM:HOG000245751 OMA:KDNFVED BioCyc:CCEL573061:GIXD-616-MONOMER
22707	8	22707_642203158 D4MV03 EMBL:FP929061 RefSeq:YP_007790214.1 EnsemblBacteria:CBL39219 GeneID:15232310 KEGG:bprl:CL2_23600 PATRIC:42798498
22549	19	22549_642085206 C3L0N9 EMBL:CP001083 RefSeq:YP_002861369.1 ProteinModelPortal:C3L0N9 STRING:515621.CLJ_B0565 EnsemblBacteria:ACQ53792 GeneID:7879249 KEGG:cbi:CLJ_B0565 PATRIC:19409558 HOGENOM:HOG000235481 OMA:CKLAGRV OrthoDB:EOG6R2GW4 ProtClustDB:CLSK877089 BioCyc:CBOT515621:GCP3-550-MONOMER InterPro:IPR019892 InterPro:IPR009036 SUPFAM:SSF69572 TIGRFAMs:TIGR03603
22517	15	22517_645526136 B0K0P0 EMBL:CP000923 RefSeq:YP_001663101.1 STRING:399726.Teth514_1478 EnsemblBacteria:ABY92765 GeneID:5877958 KEGG:tex:Teth514_1478 PATRIC:23892608 eggNOG:NOG85481 HOGENOM:HOG000292270 OMA:KYEHDFG OrthoDB:EOG6W19NJ ProtClustDB:CLSK901111 BioCyc:TSP399726:GHCK-1517-MONOMER
22496	15	22496_645642361 A3DH60 EMBL:CP000568 RefSeq:YP_001038482.1 STRING:203119.Cthe_2082 EnsemblBacteria:ABN53289 GeneID:4810680 KEGG:cth:Cthe_2082 PATRIC:19518076 eggNOG:NOG134522 HOGENOM:HOG000245668 OMA:IRYKILV OrthoDB:EOG6TN4B0 ProtClustDB:CLSK848829 BioCyc:CTHE203119:GIW8-2143-MONOMER
22427	17	22427_645658741 B0K386 EMBL:CP000923 RefSeq:YP_001662094.1 STRING:399726.Teth514_0448 EnsemblBacteria:ABY91758 GeneID:5877249 KEGG:tex:Teth514_0448 PATRIC:23890402 eggNOG:NOG09696 HOGENOM:HOG000245426 OMA:YPCERCG OrthoDB:EOG60655W ProtClustDB:CLSK900801 BioCyc:TSP399726:GHCK-457-MONOMER InterPro:IPR022258 TIGRFAMs:TIGR03826
22406	12	22406_638991342 A4AV19 EMBL:CP002157 RefSeq:YP_003863537.1 EnsemblBacteria:EAR00422 GeneID:9720267 KEGG:fbc:FB2170_13411 PATRIC:42335435 HOGENOM:HOG000252652 OMA:WNAGYWY ProtClustDB:CLSK2822174 BioCyc:MSP313603:GH3X-2918-MONOMER
22390	14	22390_642886008 E0UHD8 EMBL:CP002198 RefSeq:YP_003890127.1 EnsemblBacteria:ADN16852 GeneID:9741465 KEGG:cyj:Cyan7822_4961 PATRIC:42290913 HOGENOM:HOG000266339 OMA:EGSFGPH BioCyc:CSP497965:GJAC-5012-MONOMER GO:GO:0005524 Gene3D:3.30.470.20 InterPro:IPR013816
23336	13	23336_641952761 Q3JQJ9 EMBL:CP000124 RefSeq:YP_334154.1 EnsemblBacteria:ABA50095 GeneID:3688976 KEGG:bpm:BURPS1710b_2769 eggNOG:NOG119651 HOGENOM:HOG000009945 OMA:RFISEHA OrthoDB:EOG6DZF22 ProtClustDB:CLSK937104 BioCyc:BPSE320372:GBYB-2769-MONOMER
23268	11	23268_643971962 D5UJU6 EMBL:CP001964 RefSeq:YP_003637933.1 EnsemblBacteria:ADG75734 GeneID:9146758 KEGG:cfl:Cfla_2850 PATRIC:38153765 HOGENOM:HOG000268979 OMA:ILELWVP BioCyc:CFLA446466:GHDJ-2896-MONOMER
23226	15	23226_645570758 B0KB67 EMBL:CP000924 RefSeq:YP_001665591.1 STRING:340099.Teth39_1611 EnsemblBacteria:ABY95255 GeneID:5874737 KEGG:tpd:Teth39_1611 PATRIC:23887955 eggNOG:NOG13927 HOGENOM:HOG000273619 OMA:INDMESI OrthoDB:EOG6PS5XG ProtClustDB:CLSK900896 BioCyc:TPSE340099:GH4W-1652-MONOMER
23221	17	23221_645571408 B0KB14 EMBL:CP000924 RefSeq:YP_001664121.1 STRING:340099.Teth39_0112 EnsemblBacteria:ABY93785 GeneID:5875618 KEGG:tpd:Teth39_0112 PATRIC:23884760 eggNOG:COG1533 HOGENOM:HOG000269522 KO:K03716 OMA:SNVILAW OrthoDB:EOG6K13PK ProtClustDB:CLSK883316 BioCyc:TPSE340099:GH4W-115-MONOMER GO:GO:0016829
23207	13	23207_645147652 D0MDF7 EMBL:CP001807 RefSeq:YP_003289538.1 STRING:518766.Rmar_0244 EnsemblBacteria:ACY47150 GeneID:8566874 KEGG:rmr:Rmar_0244 PATRIC:32314505 eggNOG:NOG124532 HOGENOM:HOG000031684 OrthoDB:EOG6N946X BioCyc:RMAR518766:GJJ8-254-MONOMER
23091	12	23091_645183172 D1AZW6 EMBL:CP001816 RefSeq:YP_003303618.1 EnsemblBacteria:ACZ11583 GeneID:8592077 KEGG:sdl:Sdel_0547 PATRIC:32481847 HOGENOM:HOG000130300 OMA:YAYLVPY OrthoDB:EOG6HXJ84 BioCyc:SDEL525898:GHVA-568-MONOMER
23089	19	23089_643103979 C7TEC5 EMBL:AP011548 EMBL:FM179322 RefSeq:YP_003171819.1 RefSeq:YP_005866485.1 STRING:568703.LGG_02073 EnsemblBacteria:BAI42520 EnsemblBacteria:CAR87968 GeneID:12475123 GeneID:8421365 KEGG:lrg:LRHM_1993 KEGG:lrh:LGG_02073 PATRIC:22265392 HOGENOM:HOG000057221 OMA:RIEMFNT OrthoDB:EOG61CM14 ProtClustDB:CLSK581395 BioCyc:LRHA568703:GCGS-2048-MONOMER
23021	24	23021_637201810 Q7CJX7 EMBL:AE009952 EMBL:AE017042 EMBL:AL590842 PIR:AG0341 RefSeq:NP_668454.1 RefSeq:NP_992528.1 RefSeq:YP_002347745.1 STRING:214092.YPO2804 DNASU:1146074 EnsemblBacteria:AAM84705 EnsemblBacteria:AAS61405 GeneID:1146074 GeneID:1175630 GeneID:2765883 KEGG:ype:YPO2804 KEGG:ypk:y1127 KEGG:ypm:YP_1161 HOGENOM:HOG000266762 OMA:KVDGWGK OrthoDB:EOG64XXH6 ProtClustDB:CLSK889306 BioCyc:YPES214092:GKDD-2768-MONOMER
22992	16	22992_642185224 Q97SB1 EMBL:AE005672 PIR:A95055 RefSeq:NP_344994.1 ProteinModelPortal:Q97SB1 STRING:170187.SP_0475 EnsemblBacteria:AAK74634 GeneID:930413 KEGG:spn:SP_0475 PATRIC:19705303 HOGENOM:HOG000267432 OMA:PGRRHDF OrthoDB:EOG6KWXT2 ProtClustDB:CLSK803713 BioCyc:SPNE170187:GHGN-481-MONOMER
22954	17	22954_642207980 Q8DQZ5 EMBL:AE007317 PIR:A97924 PIR:E95054 RefSeq:NP_358011.1 STRING:171101.spr0417 EnsemblBacteria:AAK99221 GeneID:934731 KEGG:spr:spr0417 PATRIC:19700679 eggNOG:NOG114330 HOGENOM:HOG000284886 OMA:NARHWFR OrthoDB:EOG6CP3ZS ProtClustDB:CLSK697122 BioCyc:SPNE171101:GJC8-425-MONOMER
22816	18	22816_645177744 D2B1Z3 EMBL:CP001814 RefSeq:YP_003341960.1 EnsemblBacteria:ACZ89217 GeneID:8669812 KEGG:sro:Sros_6503 PATRIC:32474854 HOGENOM:HOG000294585 OMA:MLSHRAG OrthoDB:EOG6B363W BioCyc:SROS479432:GI0V-6548-MONOMER GO:GO:0016810 GO:GO:0005975 Gene3D:3.20.20.370 InterPro:IPR011330 InterPro:IPR002509 SUPFAM:SSF88713
24004	17	24004_645577120 B2V572 EMBL:CP001078 RefSeq:YP_001920764.1 STRING:508767.CLH_1372 EnsemblBacteria:ACD53475 GeneID:6318279 KEGG:cbt:CLH_1372 PATRIC:19419012 eggNOG:NOG78478 HOGENOM:HOG000262832 OMA:YRAHEEG OrthoDB:EOG69977X ProtClustDB:CLSK928575 BioCyc:CBOT508767:GHKO-1367-MONOMER Gene3D:1.10.10.10 InterPro:IPR011991
23750	15	23750_645257178 B4RNC5 EMBL:CP001050 RefSeq:YP_002002260.1 STRING:521006.NGK_1635 EnsemblBacteria:ACF30285 GeneID:6449471 KEGG:ngk:NGK_1635 PATRIC:20341773 eggNOG:NOG47460 HOGENOM:HOG000296623 OMA:HTRENGS OrthoDB:EOG6TN47X ProtClustDB:CLSK897588 BioCyc:NGON521006:GJ73-1667-MONOMER
23725	10	23725_643164011 D4KTV2 EMBL:FP929049 RefSeq:YP_007833345.1 EnsemblBacteria:CBL10304 GeneID:15221758 KEGG:rim:ROI_34800 PATRIC:43145204 InterPro:IPR012495 Pfam:PF07811
23705	13	23705_642085214 C3L0P7 EMBL:CP001083 RefSeq:YP_002861377.1 EnsemblBacteria:ACQ53081 GeneID:7879096 KEGG:cbi:CLJ_B0573 PATRIC:19409574 HOGENOM:HOG000056689 OMA:YCLERIC OrthoDB:EOG6MPWVZ ProtClustDB:CLSK961146 BioCyc:CBOT515621:GCP3-558-MONOMER
23644	22	23644_642279009 Q8X7K4 EMBL:AE005174 EMBL:BA000007 PIR:D90665 PIR:G85515 RefSeq:NP_285979.1 RefSeq:NP_308319.1 STRING:155864.Z0327 EnsemblBacteria:AAG54587 EnsemblBacteria:BAB33715 GeneID:914391 GeneID:957102 KEGG:ece:Z0327 KEGG:ecs:ECs0292 PATRIC:18349534 HOGENOM:HOG000150726 OMA:DYLLVHT OrthoDB:EOG6ND0KX ProtClustDB:CLSK436450 BioCyc:ECOL386585:GJFA-293-MONOMER BioCyc:ECOO157:Z0327-MONOMER
23622	16	23622_645443113 A8Z3G6 EMBL:CP000730 RefSeq:YP_001576425.1 STRING:451516.USA300HOU_2560 EnsemblBacteria:ABX30546 GeneID:5774834 KEGG:sax:USA300HOU_2560 PATRIC:19600408 eggNOG:NOG25710 HOGENOM:HOG000280284 KO:K10212 OMA:HLMTINS OrthoDB:EOG62G5NH ProtClustDB:CLSK886075 BioCyc:SAUR451516:GJQ4-2649-MONOMER
23611	8	23611_644205524 C0E6N8 EMBL:ACEB01000046 EnsemblBacteria:EEG25747 PATRIC:25307534 GO:GO:0016740 InterPro:IPR011004 SUPFAM:SSF51161
23546	18	23546_645282363 A6LF59 EMBL:CP000140 RefSeq:YP_001303945.1 ProteinModelPortal:A6LF59 STRING:435591.BDI_2604 EnsemblBacteria:ABR44323 GeneID:5307753 KEGG:pdi:BDI_2604 PATRIC:22848426 eggNOG:NOG75428 HOGENOM:HOG000291423 OMA:IVTEFGY OrthoDB:EOG6V7BMX ProtClustDB:CLSK823166 BioCyc:PDIS435591:GCNH-2598-MONOMER Gene3D:2.40.160.10 InterPro:IPR023614
23469	14	23469_638990842 A4ATN2 EMBL:CP002157 RefSeq:YP_003860836.1 EnsemblBacteria:EAR00802 GeneID:9717535 KEGG:fbc:FB2170_16996 PATRIC:42329801 HOGENOM:HOG000033264 OMA:DLWTKDM ProtClustDB:CLSK847438 BioCyc:MSP313603:GH3X-179-MONOMER InterPro:IPR019854 TIGRFAMs:TIGR03515
24727	12	24727_645174726 D2B9C0 EMBL:CP001814 RefSeq:YP_003344408.1 EnsemblBacteria:ACZ91665 GeneID:8672376 KEGG:sro:Sros_9034 PATRIC:32479927 HOGENOM:HOG000244989 OMA:WRNPRIH OrthoDB:EOG664CQC BioCyc:SROS479432:GI0V-9113-MONOMER
24722	8	24722_643163980 D4L1W8 EMBL:FP929050 RefSeq:YP_007779385.1 EnsemblBacteria:CBL13608 GeneID:15181597 KEGG:rix:RO1_32940 PATRIC:43152760
24679	16	24679_638649276 Q3JZ79 EMBL:CP000114 RefSeq:YP_330424.1 STRING:205921.SAK_1827 EnsemblBacteria:ABA45299 GeneID:3686277 KEGG:sak:SAK_1827 PATRIC:19634986 HOGENOM:HOG000244624 OMA:VHRFDIL OrthoDB:EOG6ND0DX ProtClustDB:CLSK638489 BioCyc:SAGA205921:GHD7-1828-MONOMER InterPro:IPR017986 SUPFAM:SSF50978
24671	8	24671_643164651 D4L0K5 EMBL:FP929050 RefSeq:YP_007778922.1 EnsemblBacteria:CBL13145 GeneID:15181134 KEGG:rix:RO1_27070 PATRIC:43151711
24656	17	24656_645584698 D9RT27 EMBL:CP002122 RefSeq:YP_003814411.1 EnsemblBacteria:ADK95689 GeneID:9496116 KEGG:pmz:HMPREF0659_A6361 PATRIC:42432515 HOGENOM:HOG000291923 OrthoDB:EOG6RZB4K BioCyc:PMEL553174:GH7V-1355-MONOMER Gene3D:2.160.20.10 InterPro:IPR006626 InterPro:IPR012334 InterPro:IPR011050 SMART:SM00710 SUPFAM:SSF51126
24588	9	24588_645603878 D5CQZ2 EMBL:CP001965 RefSeq:YP_003523765.1 EnsemblBacteria:ADE11378 GeneID:8891813 KEGG:slt:Slit_1140 HOGENOM:HOG000266912 BioCyc:SLIT580332:GH9F-1158-MONOMER
24506	5	24506_640025521 A0ZFJ8 EMBL:AAVW01000031 EnsemblBacteria:EAW45301 PATRIC:25517998
24373	12	24373_645185348 D1B1H1 EMBL:CP001816 RefSeq:YP_003303976.1 EnsemblBacteria:ACZ11941 GeneID:8592447 KEGG:sdl:Sdel_0911 PATRIC:32482601 HOGENOM:HOG000225083 OMA:DFWDFDC OrthoDB:EOG6CGCDZ BioCyc:SDEL525898:GHVA-938-MONOMER
24322	14	24322_645566143 Q728K5 EMBL:AE017285 RefSeq:YP_011810.1 STRING:882.DVU2598 EnsemblBacteria:AAS97070 GeneID:2796376 KEGG:dvu:DVU2598 PATRIC:32064808 eggNOG:NOG84925 OMA:DAIFMEA OrthoDB:EOG6VXF8D ProtClustDB:CLSK926778 BioCyc:DVUL882:GJIL-2666-MONOMER
24291	10	24291_638746392 A3L4Y4 EMBL:CH482383 ProteinModelPortal:A3L4Y4 EnsemblBacteria:EAZ56515 PATRIC:25574341 GO:GO:0009279 GO:GO:0016021 Gene3D:2.40.160.20 InterPro:IPR011250
24247	16	24247_638416647 A3MYP5 EMBL:CP000569 RefSeq:YP_001052886.1 ProteinModelPortal:A3MYP5 STRING:416269.APL_0173 EnsemblBacteria:ABN73281 GeneID:4849297 KEGG:apl:APL_0173 PATRIC:20745136 eggNOG:COG0402 HOGENOM:HOG000249499 OMA:GCLDMVT OrthoDB:EOG696BT4 ProtClustDB:PRK06886 BioCyc:APLE416269:GHV7-178-MONOMER
25447	16	25447_645282285 A6LEW8 EMBL:CP000140 RefSeq:YP_001303854.1 STRING:435591.BDI_2512 DNASU:5307661 EnsemblBacteria:ABR44232 GeneID:5307661 KEGG:pdi:BDI_2512 PATRIC:22848250 eggNOG:NOG42908 HOGENOM:HOG000290748 OMA:WQVEDLI OrthoDB:EOG6N6865 ProtClustDB:CLSK822849 BioCyc:PDIS435591:GCNH-2506-MONOMER
25433	8	25433_644267534 D4MT99 EMBL:FP929060 RefSeq:YP_007810635.1 EnsemblBacteria:CBL36985 GeneID:15234587 KEGG:bprm:CL3_32370 PATRIC:42786701
25420	15	25420_645646326 B0K3B0 EMBL:CP000923 RefSeq:YP_001662118.1 STRING:399726.Teth514_0472 EnsemblBacteria:ABY91782 GeneID:5878109 KEGG:tex:Teth514_0472 PATRIC:23890454 eggNOG:NOG13731 HOGENOM:HOG000020195 OMA:RLTIVEY OrthoDB:EOG6091CJ ProtClustDB:CLSK900816 BioCyc:TSP399726:GHCK-481-MONOMER
25387	16	25387_640984973 A9KE11 EMBL:CP000733 RefSeq:YP_001424529.1 STRING:434922.CBUD_1165 PRIDE:A9KE11 EnsemblBacteria:ABS77548 GeneID:5457931 KEGG:cbd:CBUD_1165 PATRIC:17922158 eggNOG:NOG42840 HOGENOM:HOG000227990 OMA:SKGAWAT OrthoDB:EOG60CWQQ ProtClustDB:CLSK914513 BioCyc:CBUR434922:GJTP-1234-MONOMER
25323	11	25323_645135358 B9XMD5 EMBL:ABOX02000034 EnsemblBacteria:EEF58977 PATRIC:31329882 Gene3D:2.130.10.10 InterPro:IPR017481 InterPro:IPR011044 InterPro:IPR015943 SUPFAM:SSF50969 TIGRFAMs:TIGR03032
25198	14	25198_642239075 C9XRX4 EMBL:FN538970 RefSeq:YP_003214493.1 STRING:645462.CD196_1465 EnsemblBacteria:CBA62814 GeneID:8464285 KEGG:cdc:CD196_1465 PATRIC:19449234 eggNOG:NOG132605 HOGENOM:HOG000277401 OMA:IHYFSDK OrthoDB:EOG6VTK2K BioCyc:CDIF645462:GJED-1550-MONOMER
25185	13	25185_645148774 D0MKD5 EMBL:CP001807 RefSeq:YP_003291235.1 STRING:518766.Rmar_1964 EnsemblBacteria:ACY48847 GeneID:8568621 KEGG:rmr:Rmar_1964 PATRIC:32318039 eggNOG:NOG137259 HOGENOM:HOG000025098 OrthoDB:EOG6QRW5W BioCyc:RMAR518766:GJJ8-2002-MONOMER
25174	16	25174_645059842 B3DPR6 EMBL:CP000605 RefSeq:YP_001954008.1 STRING:205913.BLD_0064 EnsemblBacteria:ACD97510 GeneID:6364425 KEGG:blj:BLD_0064 PATRIC:21113033 eggNOG:NOG119629 HOGENOM:HOG000113905 OMA:IHELWYA OrthoDB:EOG610410 ProtClustDB:CLSK572469 BioCyc:BLON205913:GJB4-64-MONOMER GO:GO:0016740
25011	13	25011_645403851 Q9RKL2 EMBL:AL939118 RefSeq:NP_628251.1 STRING:100226.SCO4070 EnsemblBacteria:CAB56350 GeneID:1099507 KEGG:sco:SCO4070 PATRIC:23737906 HOGENOM:HOG000053489 OMA:GHAYDFI OrthoDB:EOG6CCH1Z ProtClustDB:CLSK569929
25007	10	25007_641038378 A6BI03 EMBL:AAXB02000010 ProteinModelPortal:A6BI03 EnsemblBacteria:EDM62719 PATRIC:36986560 GO:GO:0016020 GO:GO:0010181 InterPro:IPR007329 Pfam:PF04205
25001	15	25001_637778376 Q39WN6 EMBL:CP000148 RefSeq:YP_006720066.1 STRING:269799.Gmet_1098 EnsemblBacteria:ABB31338 GeneID:3738591 KEGG:gme:Gmet_1098 PATRIC:22001390 eggNOG:NOG78610 HOGENOM:HOG000006306 OMA:RRDYLVF OrthoDB:EOG6H7FGS ProtClustDB:CLSK924444 BioCyc:GMET269799:GHNY-1107-MONOMER
24900	8	24900_644266524 D6DJQ4 EMBL:FP929037 RefSeq:YP_007849926.1 EnsemblBacteria:CBK77928 GeneID:15304204 KEGG:cso:CLS_25390 PATRIC:42839032
24845	5	24845_645539839 C4WGK4 EMBL:ACQA01000001 EnsemblBacteria:EEQ96482 PATRIC:28508111
24825	17	24825_645586535 D9RRP6 EMBL:CP002122 RefSeq:YP_003813670.1 EnsemblBacteria:ADK96282 GeneID:9496827 KEGG:pmz:HMPREF0659_A5563 PATRIC:42430879 HOGENOM:HOG000162155 OrthoDB:EOG65BDGG BioCyc:PMEL553174:GH7V-562-MONOMER GO:GO:0005524 GO:GO:0046872 Gene3D:3.30.470.20 InterPro:IPR011761 InterPro:IPR013816 PROSITE:PS50975
24804	12	24804_642328246 D2QB83 EMBL:CP001750 RefSeq:YP_003360893.1 EnsemblBacteria:ADB10069 GeneID:8692248 KEGG:bde:BDP_1469 PATRIC:31957073 HOGENOM:HOG000235327 OMA:NTHYEYI OrthoDB:EOG64FKJ3 BioCyc:BDEN401473:GH09-1418-MONOMER
24791	5	24791_639871006 Q0FSN0 EMBL:AATQ01000008 EnsemblBacteria:EAU47223 PATRIC:28151398
26190	16	26190_641011288 A5KL02 EMBL:AAVP02000041 EMBL:AAVP02000033 EMBL:AAVP02000030 EMBL:AAVP02000025 EMBL:AAVP02000010 EMBL:AAVP02000005 EMBL:AAVP02000002 EnsemblBacteria:EDK22958 EnsemblBacteria:EDK22990 EnsemblBacteria:EDK23016 EnsemblBacteria:EDK23063 EnsemblBacteria:EDK23919 EnsemblBacteria:EDK24340 EnsemblBacteria:EDK25103
26119	20	26119_645660746 B0K0P2 EMBL:CP000923 RefSeq:YP_001663103.1 ProteinModelPortal:B0K0P2 STRING:399726.Teth514_1480 EnsemblBacteria:ABY92767 GeneID:5877960 KEGG:tex:Teth514_1480 PATRIC:23892612 eggNOG:NOG139867 HOGENOM:HOG000292272 OMA:KRADDFQ OrthoDB:EOG65QWM3 ProtClustDB:CLSK901113 BioCyc:TSP399726:GHCK-1519-MONOMER GO:GO:0003824 GO:GO:0031419 InterPro:IPR016176 SUPFAM:SSF51703
26035	16	26035_643023812 A1KK56 EMBL:AM408590 RefSeq:YP_978119.1 ProteinModelPortal:A1KK56 STRING:410289.BCG_2029 EnsemblBacteria:CAL72017 GeneID:4697392 KEGG:mbb:BCG_2029 PATRIC:18014916 eggNOG:COG5562 HOGENOM:HOG000220474 OMA:ISYEADF OrthoDB:EOG6716P9 ProtClustDB:CLSK791560 BioCyc:MBOV410289:GJW7-2056-MONOMER
25948	15	25948_641063590 B2IRN6 EMBL:CP001033 RefSeq:YP_001836322.1 STRING:516950.SPCG_1605 EnsemblBacteria:ACB90857 GeneID:6217082 KEGG:spw:SPCG_1605 PATRIC:19679516 eggNOG:NOG78871 HOGENOM:HOG000235895 OMA:VGRNIMS OrthoDB:EOG6ZPT1K ProtClustDB:CLSK803845 BioCyc:SPNE516950:GI38-1618-MONOMER
25913	5	25913_641003817 A5ZKX7 EMBL:AAVM02000010 EnsemblBacteria:EDM19254 PATRIC:28985566
25901	15	25901_643226969 Q8Z1U9 EMBL:AE014613 EMBL:AL513382 RefSeq:NP_458517.1 RefSeq:NP_807729.1 STRING:220341.STY4415 EnsemblBacteria:AAO71589 EnsemblBacteria:CAD09203 KEGG:stt:t4125 PATRIC:18547071 HOGENOM:HOG000219570 OMA:PFMFSNK OrthoDB:EOG6CGC93 ProtClustDB:CLSK894536
25887	8	25887_641482866 F7ZC70 EMBL:CP002623 RefSeq:YP_004692606.1 EnsemblBacteria:AEI95643 GeneID:10952100 KEGG:rli:RLO149_c037290 BioCyc:RLIT391595:GJEH-3705-MONOMER
25831	7	25831_644269264 C0FPV8 EMBL:ACFY01000033 EnsemblBacteria:EEG95365 PATRIC:30046932 InterPro:IPR018076 Pfam:PF00482
25819	7	25819_639097073 Q1Z700 EMBL:AAPH01000005 EnsemblBacteria:EAS44303 PATRIC:30913551 InterPro:IPR018702 Pfam:PF09972
25741	18	25741_645573797 C9RRG8 EMBL:CP001792 EMBL:CP002158 RefSeq:YP_003249636.1 RefSeq:YP_005821956.1 STRING:59374.Fisuc_1557 EnsemblBacteria:ACX75154 EnsemblBacteria:ADL26480 GeneID:12433588 GeneID:8522168 KEGG:fsc:FSU_2041 KEGG:fsu:Fisuc_1557 PATRIC:32142881 eggNOG:NOG116154 HOGENOM:HOG000104606 OMA:YIAIVHI OrthoDB:EOG6QVRG9
25735	13	25735_638887787 A3U602 EMBL:CP002046 RefSeq:YP_003715345.1 ProteinModelPortal:A3U602 EnsemblBacteria:EAP87669 GeneID:9296066 KEGG:cat:CA2559_02900 PATRIC:38156728 HOGENOM:HOG000035058 OMA:YYASDNP ProtClustDB:CLSK928626 BioCyc:CATL216432:GHTE-591-MONOMER
25582	17	25582_638717968 A7K694 EMBL:CP001805 EMBL:DS267864 RefSeq:YP_003285553.1 STRING:150340.VEA_002926 EnsemblBacteria:ACY51088 EnsemblBacteria:EDN55882 GeneID:8556655 KEGG:vex:VEA_002926 PATRIC:28405653 eggNOG:NOG145195 HOGENOM:HOG000251457 OMA:MAQSPEM OrthoDB:EOG6H4K50 ProtClustDB:CLSK910079 BioCyc:VSP150340:GJJG-1418-MONOMER
27023	15	27023_638990967 A4AU01 EMBL:CP002157 RefSeq:YP_003862511.1 ProteinModelPortal:A4AU01 EnsemblBacteria:EAR00452 GeneID:9719233 KEGG:fbc:FB2170_08104 PATRIC:42333277 HOGENOM:HOG000030792 OMA:FDVDGTY ProtClustDB:CLSK847817 BioCyc:MSP313603:GH3X-1879-MONOMER InterPro:IPR003018 SMART:SM00065
27015	14	27015_642236907 C9XK62 EMBL:FN538970 RefSeq:YP_003213407.1 STRING:645462.CD196_0360 EnsemblBacteria:CBA60709 GeneID:8463481 KEGG:cdc:CD196_0360 PATRIC:19446892 eggNOG:NOG46118 HOGENOM:HOG000035587 OMA:EIVFIRF OrthoDB:EOG66MQQQ BioCyc:CDIF645462:GJED-448-MONOMER
27000	12	27000_638989053 A4ANK9 EMBL:CP002157 RefSeq:YP_003861880.1 EnsemblBacteria:EAR02581 GeneID:9718601 KEGG:fbc:FB2170_04820 PATRIC:42331951 HOGENOM:HOG000023044 OMA:VINGHSM ProtClustDB:CLSK814205 BioCyc:MSP313603:GH3X-1245-MONOMER
26906	5	26906_645248359 C1I046 EMBL:DS999951 EnsemblBacteria:EEH62982 PATRIC:29966065
